Elapsed,Date,Time,Pitch,Roll,Heading,Latitude,Longitude,Altitude,Next WP,Velocity,RTK Status,Latitude RTK,Longitude RTK,Altitude RTK,ALT:Altitude,ALT:ID,GAS:Methane,GAS:Status
1.76358E+12,11/19/2025,42:37.3,-2.41,2.15,102.41,40.46035339,-109.5652703,7.88,,5.22,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,8,1
1.76358E+12,11/19/2025,42:37.4,-2.15,1.99,102.4,40.46035328,-109.5652701,8.41,,5.19,OFF,,,,0.1,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:37.5,-1.82,1.63,102.4,40.46035289,-109.5652699,9.04,,5.16,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:37.6,-1.57,1.32,102.44,40.46035273,-109.5652696,9.56,,5.12,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:37.7,-1.27,0.93,102.47,40.46035248,-109.5652692,10.07,,5.1,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:37.7,-1.12,0.72,102.51,40.46035234,-109.565269,10.49,,5.08,OFF,,,,0.1,v1:altimeter:LIGHTWARESF30D:0,12,1
1.76358E+12,11/19/2025,42:37.9,-0.91,0.75,102.56,40.46035239,-109.5652687,11,,5.06,OFF,,,,0.1,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:38.0,-0.4,0.44,102.55,40.46035223,-109.5652684,11.61,,5.03,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:38.1,0.06,-0.13,102.52,40.46035207,-109.5652682,12.01,,5.02,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:38.2,0.55,-0.89,102.47,40.46035194,-109.565268,12.53,,5,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:38.2,0.64,-1,102.5,40.46035203,-109.5652677,13.03,,4.99,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,3,1
1.76358E+12,11/19/2025,42:38.4,0.54,-0.62,102.58,40.46035198,-109.5652674,13.63,,4.99,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:38.5,0.38,-0.18,102.63,40.46035177,-109.5652673,14.03,,4.98,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:38.6,0.25,0.03,102.63,40.46035176,-109.5652671,14.53,,4.98,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:38.7,0.16,0,102.59,40.46035166,-109.5652669,15.03,,4.98,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:38.8,0.17,-0.07,102.63,40.46035168,-109.5652668,15.52,,4.98,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,77,1
1.76358E+12,11/19/2025,42:38.9,0.24,0.08,102.67,40.46035158,-109.5652667,16.02,,4.98,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:39.0,0.24,0.38,102.66,40.46035164,-109.5652665,16.52,,4.98,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:39.1,0.16,0.61,102.62,40.46035162,-109.5652663,17.01,,4.98,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:39.2,-0.02,0.89,102.63,40.46035168,-109.5652662,17.52,,4.99,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:39.3,-0.2,1.03,102.61,40.46035137,-109.5652664,18.02,,4.99,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,76,1
1.76358E+12,11/19/2025,42:39.4,-0.48,0.95,102.55,40.46035141,-109.5652664,18.62,,5,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:39.5,-0.47,0.81,102.51,40.46035122,-109.5652662,19.01,,5.01,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:39.6,-0.28,0.73,102.49,40.46035123,-109.5652661,19.51,,5.01,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:39.7,-0.17,0.99,102.55,40.46035136,-109.565266,20.11,,5.01,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:39.7,-0.25,1.26,102.6,40.46035138,-109.5652659,20.53,,5.02,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,77,1
1.76358E+12,11/19/2025,42:39.8,-0.54,1.64,102.58,40.46035229,-109.5652661,21.04,,5.01,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:40.0,-0.86,1.94,102.56,40.46035238,-109.5652661,21.54,,5.01,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:40.1,-0.9,2.03,102.53,40.46035248,-109.5652659,22.04,,5.01,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:40.2,-0.7,1.91,102.52,40.46035255,-109.5652658,22.53,,5.01,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:40.3,-0.53,1.61,102.5,40.46035227,-109.5652658,23.03,,5.01,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,45,1
1.76358E+12,11/19/2025,42:40.4,-0.27,1.08,102.54,40.46035227,-109.5652657,23.63,,5.01,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:40.5,-0.32,0.76,102.64,40.4603524,-109.5652659,24.13,,5.01,OFF,,,,0.13,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:40.6,-0.45,0.72,102.65,40.4603524,-109.5652659,24.63,,5,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:40.7,-0.63,0.83,102.63,40.46035214,-109.5652657,25.13,,5,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:40.8,-0.75,0.93,102.61,40.46035213,-109.5652657,25.53,,5,OFF,,,,0.13,v1:altimeter:LIGHTWARESF30D:0,3,1
1.76358E+12,11/19/2025,42:40.9,-0.83,0.94,102.57,40.46035211,-109.5652656,26.03,,4.99,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:41.0,-0.8,0.69,102.52,40.46035208,-109.5652657,26.52,,5,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:41.1,-0.93,0.48,102.5,40.46035192,-109.5652656,27.03,,5,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:41.2,-1.33,0.23,102.46,40.46035187,-109.5652656,27.52,,5,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
